Run Type,AMR Levels,Cores,Measure Index,Memory Used (KB)
pipe_contour_memory,4,128,38,5857932
pipe_contour_memory,4,128,39,5860132
pipe_contour_memory,4,128,40,5860784
pipe_contour_memory,4,128,41,5868220
pipe_contour_memory,4,128,42,5870684
pipe_contour_memory,4,128,43,5867228
pipe_contour_memory,4,128,44,5867848
pipe_contour_memory,4,128,45,5872312
pipe_contour_memory,4,128,46,5875160
pipe_contour_memory,4,128,47,5877144
pipe_contour_memory,4,128,48,5888800
pipe_contour_memory,4,128,49,5891248
pipe_contour_memory,4,128,50,5892752
pipe_contour_memory,4,128,51,5894396
pipe_contour_memory,4,128,52,5902596
pipe_contour_memory,4,128,53,5902116
pipe_contour_memory,4,128,54,5903976
pipe_contour_memory,4,128,55,5903232
pipe_contour_memory,4,128,56,5903196
pipe_contour_memory,4,128,57,5904688
pipe_contour_memory,4,128,58,5905928
pipe_contour_memory,4,128,59,5908920
pipe_contour_memory,4,128,60,5910764
pipe_contour_memory,4,128,61,5914968
pipe_contour_memory,4,128,62,5919464
pipe_contour_memory,4,128,63,5921124
pipe_contour_memory,4,128,64,5922624
pipe_contour_memory,4,128,65,5922252
pipe_contour_memory,4,128,66,5921988
pipe_contour_memory,4,128,67,5923288
pipe_contour_memory,4,128,68,5924932
pipe_contour_memory,4,128,69,5925708
pipe_contour_memory,4,128,70,5926360
pipe_contour_memory,4,128,71,5926824
pipe_contour_memory,4,128,72,5926048
pipe_contour_memory,4,128,73,5927536
pipe_contour_memory,4,128,74,5928728
pipe_contour_memory,4,128,75,5929204
pipe_contour_memory,4,128,76,5928584
pipe_contour_memory,4,128,77,5929696
pipe_contour_memory,4,128,78,5932192
pipe_contour_memory,4,128,79,5931092
pipe_contour_memory,4,128,80,5930292
pipe_contour_memory,4,128,81,5929548
pipe_contour_memory,4,128,82,5929820
pipe_contour_memory,4,128,83,5935164
pipe_contour_memory,4,128,84,5936824
pipe_contour_memory,4,128,85,5936204
pipe_contour_memory,4,128,86,5936212
pipe_contour_memory,4,128,87,5940724
pipe_contour_memory,4,128,88,5940584
pipe_contour_memory,4,128,89,5940332
pipe_contour_memory,4,128,90,5938928
pipe_contour_memory,4,128,91,5945416
pipe_contour_memory,4,128,92,5951340
pipe_contour_memory,4,128,93,5952532
pipe_contour_memory,4,128,94,5956688
pipe_contour_memory,4,128,95,5960716
pipe_contour_memory,4,128,96,5964496
pipe_contour_memory,4,128,97,5970400
pipe_contour_memory,4,128,98,5975440
pipe_contour_memory,4,128,99,5976952
pipe_contour_memory,4,128,100,5978364
pipe_contour_memory,4,256,0,5645192
pipe_contour_memory,4,256,1,5678724
pipe_contour_memory,4,256,2,5721844
pipe_contour_memory,4,256,3,5732084
pipe_contour_memory,4,256,4,5737232
pipe_contour_memory,4,256,5,5739256
pipe_contour_memory,4,256,6,5743112
pipe_contour_memory,4,256,7,5745784
pipe_contour_memory,4,256,8,5746832
pipe_contour_memory,4,256,9,5748336
pipe_contour_memory,4,256,10,5748220
pipe_contour_memory,4,256,11,5749408
pipe_contour_memory,4,256,12,5749408
pipe_contour_memory,4,256,13,5750380
pipe_contour_memory,4,256,14,5750008
pipe_contour_memory,4,256,15,5751124
pipe_contour_memory,4,256,16,5751204
pipe_contour_memory,4,256,17,5751716
pipe_contour_memory,4,256,18,5751928
pipe_contour_memory,4,256,19,5752812
pipe_contour_memory,4,256,20,5752904
pipe_contour_memory,4,256,21,5753400
pipe_contour_memory,4,256,22,5753120
pipe_contour_memory,4,256,23,5754416
pipe_contour_memory,4,256,24,5757636
pipe_contour_memory,4,256,25,5758628
pipe_contour_memory,4,256,26,5760364
pipe_contour_memory,4,256,27,5761852
pipe_contour_memory,4,256,28,5763960
pipe_contour_memory,4,256,29,5764576
pipe_contour_memory,4,256,30,5765040
pipe_contour_memory,4,256,31,5765056
pipe_contour_memory,4,256,32,5773148
pipe_contour_memory,4,256,33,5778412
pipe_contour_memory,4,256,34,5782124
pipe_contour_memory,4,256,35,5783472
pipe_contour_memory,4,256,36,5785456
pipe_contour_memory,4,256,37,5786444
pipe_contour_memory,4,256,38,5795404
pipe_contour_memory,4,256,39,5794656
pipe_contour_memory,4,256,40,5797508
pipe_contour_memory,4,256,41,5801444
pipe_contour_memory,4,256,42,5804044
pipe_contour_memory,4,256,43,5804864
pipe_contour_memory,4,256,44,5806488
pipe_contour_memory,4,256,45,5808708
pipe_contour_memory,4,256,46,5811140
pipe_contour_memory,4,256,47,5812160
pipe_contour_memory,4,256,48,5814632
pipe_contour_memory,4,256,49,5821468
pipe_contour_memory,4,256,50,5822212
pipe_contour_memory,4,256,51,5824816
pipe_contour_memory,4,256,52,5826288
pipe_contour_memory,4,256,53,5827528
pipe_contour_memory,4,256,54,5831636
pipe_contour_memory,4,256,55,5830892
pipe_contour_memory,4,256,56,5831904
pipe_contour_memory,4,256,57,5831656
pipe_contour_memory,4,256,58,5831672
pipe_contour_memory,4,256,59,5832804
pipe_contour_memory,4,256,60,5832028
pipe_contour_memory,4,256,61,5836372
pipe_contour_memory,4,256,62,5834784
pipe_contour_memory,4,256,63,5835884
pipe_contour_memory,4,256,64,5837512
pipe_contour_memory,4,256,65,5839248
pipe_contour_memory,4,256,66,5839248
pipe_contour_memory,4,256,67,5839212
pipe_contour_memory,4,256,68,5839788
pipe_contour_memory,4,256,69,5843164
pipe_contour_memory,4,256,70,5844888
pipe_contour_memory,4,256,71,5846216
pipe_contour_memory,4,256,72,5847208
pipe_contour_memory,4,256,73,5848108
pipe_contour_memory,4,256,74,5851736
pipe_contour_memory,4,256,75,5855704
pipe_contour_memory,4,256,76,5858168
pipe_contour_memory,4,256,77,5857300
pipe_contour_memory,4,256,78,5858556
pipe_contour_memory,4,256,79,5859112
pipe_contour_memory,4,256,80,5857916
pipe_contour_memory,4,256,81,5857924
pipe_contour_memory,4,256,82,5858632
pipe_contour_memory,4,256,83,5862556
pipe_contour_memory,4,256,84,5867548
